MAKE,HP,MPG,WT,CLASS
FordEscort,90,42.2,25,C1
HondaCivic,92,40.9,25,C1
PontiacLeMans,74,40.7,25,C1
IsuzuStylus,95,40,25,C1
DodgeColt,81,39.3,25,C1
GM/GeoStorm,95,38.8,25,C1
HondaCivicCRX,92,38.4,25,C1
HondaCivicWagon,92,38.4,25,C1
HondaCivic,92,38.4,25,C1
Mazda323Protege,103,36.3,27.5,C2
FordEscortWagon,84,36.1,27.5,C2
FordEscort,84,36.1,27.5,C2
GM/GeoPrism,102,35.4,27.5,C2
ToyotaCorolla,102,35.3,27.5,C2
EagleSummit,81,35.1,27.5,C2
NissanCentraCoupe,90,35.1,27.5,C2
NissanCentraWagon,90,35,27.5,C2
ToyotaCelica,102,33.2,30,C3
ToyotaCelica,102,32.9,30,C3
ToyotaCorolla,130,32.3,30,C3
ChevroletCorsica,95,32.2,30,C3
ChevroletBeretta,95,32.2,30,C3
ToyotaCorolla,102,32.2,30,C3
PontiacSunbirdConv,95,32.2,30,C3
DodgeShadow,93,31.5,30,C3
DodgeDaytona,100,31.5,30,C3
EagleSpirit,100,31.4,30,C3
FordTempo,98,31.4,30,C3
ToyotaCelica,130,31.2,30,C3
ToyotaCamry,115,33.7,35,C4
ToyotaCamry,115,32.6,35,C4
ToyotaCamry,115,31.3,35,C4
ToyotaCamryWagon,115,31.3,35,C4
OldsCutlassSup,180,30.4,35,C4
OldsCutlassSup,160,28.9,35,C4
Saab9000,130,28,35,C4
FordMustang,96,28,35,C4
ToyotaCamry,115,28,35,C4
ChryslerLebaronConv,100,28,35,C4
DodgeDynasty,100,28,35,C4
Volvo740,145,27.7,35,C4
FordThunderbird,120,25.6,40,C5
ChevroletCaprice,140,25.3,40,C5
LincolnContinental,140,23.9,40,C5
ChryslerNewYorker,150,23.6,40,C5
BuickReatta,165,23.6,40,C5
OldsTrof/Toronado,165,23.6,40,C5
Oldsmobile98,165,23.6,40,C5
PontiacBonneville,165,23.6,40,C5
LexusLS400,245,23.5,40,C5
Nissan300ZX,280,23.4,40,C5
Volvo760Wagon,162,23.4,40,C5
Audi200QuatroWag,162,23.1,40,C5
BuickElectraWagon,140,22.9,45,C6
CadillacBrougham,140,22.9,45,C6
CadillacBrougham,175,19.5,45,C6
Mercedes500SL,322,18.1,45,C6
Mercedes560SEL,238,17.2,45,C6
JaguarXJSConvert,263,17,45,C6
BMW750IL,295,16.7,45,C6
